site,lat,lon
1388000,40.99194444,-74.28
1417500,42.0245833,-75.11927778
1421000,41.97355556,-75.1751944
1425000,42.07491667,-75.3958056
1426500,42.00302778,-75.38352778
1427510,41.75675,-75.0574167
1428500,41.50875,-74.9860556
1432160,41.47536824,-74.91238898
1432805,41.4389808,-74.8193318
1436690,41.63805556,-74.61688889
1480500,39.98566144,-75.8274467
2156500,34.5951393,-81.4212089
2160105,34.5354163,-81.548158
2160700,34.5093039,-81.5981594
2160991,34.26070285,-81.3303747
2167716,34.0795843,-81.5617714
2168504,34.0509822,-81.2095418
2169000,34.0140416,-81.0878717
2337170,33.65666667,-84.6736111
2397000,34.2005,-85.2564167
2397530,34.20176124,-85.447458
2423397,33.53454886,-86.5624847
2423496,33.3692767,-86.7841551
2455980,33.71121273,-86.6961013
2457595,33.5970492,-86.8680483
2458450,33.5176059,-86.8791584
4121660,43.61308,-85.4778209
4121680,43.485857,-85.63060189
4121944,43.43085818,-85.5955989
4121970,43.43474558,-85.6653239
422026250,43.2536111,-77.7422222
4232050,43.12802778,-77.527
6041000,45.49023056,-111.6345056
6054500,46.1465722,-111.4202778
6711565,39.66498738,-105.004149
7060500,36.11666667,-92.1430556
7086000,39.04277116,-106.2658553
7096000,38.43388674,-105.2572128
7097000,38.38833418,-105.0160961
7106000,38.6016647,-104.6702503
7106500,38.2877801,-104.6010849
7109500,38.24805799,-104.3991356
7119700,38.12583934,-103.9119006
7311782,33.62203029,-100.2089951
8049500,32.7625,-96.9944444
8062500,32.42652988,-96.4630415
8065350,31.33851319,-95.6563407
8181800,29.2221853,-98.3558463
9163500,39.13276047,-109.0270546
9171100,38.3569337,-108.8334347
9380000,36.8643333,-111.5878722
10301500,39.1524611,-119.0988889
11261100,37.24771864,-120.8521446
11509370,42.12792225,-121.9288964
12119000,47.4825999,-122.2034547
12147500,47.71232365,-121.7887272
12147600,47.7067714,-121.6001069
12148000,47.68926929,-121.7134457
12148300,47.69676817,-121.7873379
12181000,48.5337306,-121.4298499
12363000,48.3618111,-114.18495
13334300,46.0970994,-116.9776495
14138720,45.4709515,-121.8653567
14138850,45.4981743,-122.0123049
14138870,45.48011889,-122.0256385
14138900,45.4942856,-122.0359167
14139800,45.444564,-122.1095292
14159500,44.13595817,-122.248391
14162200,44.16234819,-122.3331192
14181500,44.75377778,-122.2974444
14207200,45.35650877,-122.6850937
14330000,42.72957187,-122.516147
14337600,42.6554035,-122.7150408
14338000,42.6787364,-122.7419867
14339000,42.5248471,-122.8428203
14359000,42.43734597,-122.9872678
14362000,42.0637361,-123.1114358
14366000,42.2415113,-123.1400485
14369500,42.3540058,-123.4067276
14372300,42.5784422,-124.0581443
15295700,57.69397807,-153.1639087
4.20E+14,42.0808333,-121.85
